-1,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
66,An Unpredictable Gospel,['Jay Riley Case'],en,Religion,0,NOT_MATURE,Oxford University Press,2012-01-02,328
67,Masterplots II.,['Charles Edward May'],en,Study Aids,0,NOT_MATURE,Salem Pr Inc,04-Jan,645
68,Flowers for Algernon,['BookCaps Study Guides Staff'],en,Biography & Autobiography,0,NOT_MATURE,BookCaps Study Guides,2011,0
69,Stories and Poems for Opening Exercises,na,en,Children's stories,0,NOT_MATURE,na,1927,46
70,The Encyclopedia of Superheroes on Film and Television- 2d ed.,['John Kenneth Muir'],en,Performing Arts,4,NOT_MATURE,McFarland,2004-02-13,704
71,Flowers for Algernon,['Patrice Cassedy'],en,Juvenile Nonfiction,0,NOT_MATURE,na,Jan-00,96
72,Fishery Bulletin,na,en,Fisheries,0,NOT_MATURE,na,1986,0
73,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,Literary Criticism,0,NOT_MATURE,Houghton Mifflin Harcourt,2001-03-07,66
74,Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,Juvenile Fiction,5,NOT_MATURE,Knopf Books for Young Readers,2014-09-09,240
75,Sammy Keyes and the Skeleton Man,na,en,Juvenile Fiction,3.5,NOT_MATURE,Knopf Books for Young Readers,2003-09-09,176
76,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,Juvenile Fiction,4,NOT_MATURE,Yearling,2008-12-24,320
77,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,Juvenile Fiction,4,NOT_MATURE,Yearling,2009-01-16,304
78,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,Juvenile Fiction,3.5,NOT_MATURE,Yearling,2008-12-24,320
79,Caii Spectrum Or Dr. Keyes's Charge Against Dr. M -- [i.e. Dr. Richard Mead],['John Caius (Spirit)'],en,Communicable diseases,0,NOT_MATURE,na,1721,22
80,Resources in Education,na,en,Education,0,NOT_MATURE,na,1977,0
81,Chicano School Failure and Success,['Richard R. Valencia'],en,Education,0,NOT_MATURE,Psychology Press,2002,383
82,The Politics of Hispanic Education,['Kenneth J. Meier'- 'Joseph Stewart'],en,Education,0,NOT_MATURE,SUNY Press,1991-01-01,275
83,Desegregation and Education Concerns of the Hispanic Community,na,en,Education- Bilingual,0,NOT_MATURE,na,1977,103
84,Linguistic Diversity and National Unity,['William A. Smalley'],en,Foreign Language Study,0,NOT_MATURE,University of Chicago Press,1994-06-15,436
85,Synergic Integration of Formal and Informal E-Learning Environments for Adult Lifelong Learners,['Leone- Sabrina'],en,Education,0,NOT_MATURE,IGI Global,2013-10-31,337
86,Race and Education- 1954-2007,['Raymond Wolters'],en,Education,0,NOT_MATURE,University of Missouri Press,2008,313
87,Wade Keyes' introductory lecture to the Montgomery Law School,['David I. Durham'- 'Wade Keyes'- 'Paul M. Pruitt'],en,Law,0,NOT_MATURE,na,2001,45
88,Education and the Cult of Efficiency,['Raymond E. Callahan'],en,Education,0,NOT_MATURE,University of Chicago Press,1964-03-15,286
89,Readings on Equal Education,['Abbas Tashakkori'- 'Salvador Hector Ochoa'],en,Socially handicapped children,0,NOT_MATURE,na,1999,271
90,The Worcester Directory,na,en,Worcester (Mass.),0,NOT_MATURE,na,1866,0
91,American Predator,['Maureen Callahan'],en,True Crime,4,NOT_MATURE,Penguin,2019-07-02,304
92,Kill Rommel!,['Gavin Mortimer'],en,History,0,NOT_MATURE,Bloomsbury Publishing,2014-02-20,80
93,Murder in Hollywood,['Charles Higham'],en,Biography & Autobiography,0,NOT_MATURE,Terrace Books,2006-02-22,227
94,The Somerville- Arlington and Belmont Directory,na,en,na,0,NOT_MATURE,na,1869,0
95,Greenough- Jones & Co's New Directory of the Inhabitants- Institutions- Manufacturing Establishments- Business- Societies- Business Firms- Etc. Etc. in the City and Town of New Haven for ...,na,en,Business enterprises,0,NOT_MATURE,na,1874,0
96,Benham's Embracing a Limited Sketch of Yale College,na,en,na,0,NOT_MATURE,na,1983-01-01,0
97,The Wisconsin Magazine of History,na,en,na,0,NOT_MATURE,na,1947,0
98,Wisconsin magazine of history,['State Historical Society of Wisconsin'],en,Wisconsin,0,NOT_MATURE,na,1948,0
99,Rutland Directory,na,en,Rutland (Vt.),0,NOT_MATURE,na,1877,0
100,New Evidence on School Desegregation,['Finis Welch'],en,African Americans,0,NOT_MATURE,na,1987,176
101,Brunswick,['Sharon Martin Zankel'],en,History,0,NOT_MATURE,Arcadia Publishing,1998-10-27,128
102,Downstage Dead,['Bruce Barber'],en,Actors,0,NOT_MATURE,Pasdeloup Press,2007-02-01,203
103,School as Community,['Gail Furman'],en,Education,0,NOT_MATURE,SUNY Press,2012-02-01,315
104,Euphemania,['Ralph Keyes'],en,Language Arts & Disciplines,0,MATURE,Hachette UK,2010-12-14,288
105,Complex Justice,['Joshua M. Dunn'],en,Political Science,0,NOT_MATURE,UNC Press Books,2012-09-01,240
106,Five Miles Away- A World Apart,['James E. Ryan'],en,Education,0,NOT_MATURE,Oxford University Press,2010-08-06,400
107,Learning Disabilities,['William M. Cruickshank'- 'William C. Morse'- 'Jeannie Johns'],en,Education,0,NOT_MATURE,Syracuse University Press,1980-02-01,296
108,California's Charter Schools,['California. Bureau of State Audits'],en,Charter schools,0,NOT_MATURE,na,2002,219
109,America in Black and White,['Stephan Thernstrom'- 'Abigail Thernstrom'],en,Social Science,0,NOT_MATURE,Simon and Schuster,2009-07-14,704
110,PC Mag,na,en,na,0,NOT_MATURE,na,1987-02-24,362
111,PC Mag,na,en,na,0,NOT_MATURE,na,1987-02-10,400
112,PC Mag,na,en,na,0,NOT_MATURE,na,1987-01-13,374
113,PC Mag,na,en,na,0,NOT_MATURE,na,1988-09-27,406
114,PC Mag,na,en,na,0,NOT_MATURE,na,1988-04-26,356
115,Computer Decisions,na,en,Electronic data processing,0,NOT_MATURE,na,1987,0
116,Fifth International Symposium on Domain Decomposition Methods for Partial Differential Equations,['David E. Keyes'],en,Mathematics,0,NOT_MATURE,SIAM,1992-01-01,623
117,Personal Computing,na,en,Microcomputers,0,NOT_MATURE,na,Sep-89,0
118,Data sources,na,en,Computer industry,0,NOT_MATURE,na,2000,0
119,History of the ... Economic Censuses,na,en,Economic surveys,0,NOT_MATURE,na,1992,0
120,A University of Tradition,['Purdue Reamer Club'],en,Education,0,NOT_MATURE,Purdue University Press,12-Nov,256
121,Biology Pamphlets,na,en,Biology,0,NOT_MATURE,na,1898,0
122,Biology of the Uterus,['W. Jollie'- 'R.M. Wynn'],en,Medical,0,NOT_MATURE,Springer Science & Business Media,2013-06-29,644
123,Prophets of Agroforestry,['Richard K. Reed'],en,History,0,NOT_MATURE,University of Texas Press,2014-02-19,271
124,Periodontal Disease- Assessing the Effectiveness and Costs of the Keyes Technique,['Richard M. Scheffler'],en,Medical instruments and apparatus,0,NOT_MATURE,na,1981,32
125,Columbia University Quarterly,na,en,na,0,NOT_MATURE,na,1913,0
126,Advances in Experimental Medicine and Biology,['Constance Kies'],en,Biology,0,NOT_MATURE,na,1989,307
127,Biology and Pathology of the Oocyte,['Alan O. Trounson'- 'Roger G. Gosden'],en,Medical,0,NOT_MATURE,Cambridge University Press,2003-07-10,350
128,A. B. Bookman's Weekly,na,en,Antiquarian booksellers,0,NOT_MATURE,na,Jul-87,0
129,Human Biology,"['Sara Stinson'- 'Barry Bogin'- ""Dennis H. O'Rourke",en,Social Science,0,NOT_MATURE,John Wiley & Sons,2012-03-19,780
130,Quarterly Report,['Northwest and Alaska Fisheries Center (U.S.)'],en,Fisheries,0,NOT_MATURE,na,1983,0
131,The Anatomy of Hope,['Jerome Groopman'],en,Health & Fitness,4,NOT_MATURE,Random House,2003-12-23,272
132,The Journal of the American Medical Association,['American Medical Association'],en,American Medical Association,0,NOT_MATURE,na,1894,0
133,Bioethical and Evolutionary Approaches to Medicine and the Law,['W. Noel Keyes'],en,Medical,0,NOT_MATURE,American Bar Association,2007,1174
134,Official Gazette of the United States Patent Office,['United States. Patent Office'],en,Patents,0,NOT_MATURE,na,1906,0
135,Directory ... American College of Physicians,['American College of Physicians'],en,Medicine,0,NOT_MATURE,na,1935,0
136,The Azusa Street Mission and Revival,['Cecil M. Robeck'],en,History,4,NOT_MATURE,Thomas Nelson,2006-03-04,354
137,Directory,['American College of Physicians'],en,Medicine,0,NOT_MATURE,na,1937,0
138,Periodontal disease- assessing the effectiveness and costs of the Keyes technique,na,en,na,0,NOT_MATURE,DIANE Publishing,1983-01-01,0
139,Standard Directory of Advertising Agencies,na,en,Advertising,0,NOT_MATURE,National Register,Jan-94,0
140,Mental Health Challenges in Elite Sport: Balancing Risk with Reward,['Tadhg Eoghan MacIntyre'- 'Judy Van Raalte'- ' Britton W. Brewer'- ' Marc Jones'- 'Deirdre O’Shea'- 'Paul Joseph McCarthy'],en,na,0,NOT_MATURE,Frontiers Media SA,2018-01-29,0
141,Sport- the Third Millennium,['Fernand Landry'- 'Marc Landry'- 'Magdeleine Yerlès'- 'International Olympic Committee'],en,Mass media and sports,0,NOT_MATURE,Presses Université Laval,1991,809
142,Casenote Legal Briefs for Sports Law- Keyed to Weiler- Roberts- Abrams- and Ross,['Casenote Legal Briefs'],en,Law,0,NOT_MATURE,Wolters Kluwer Law & Business,2011-02-28,180
143,Women- Sport- and Physical Activity,['Helen Lenskyj'],en,Feminist criticism,0,NOT_MATURE,Sport Info Resource Centre,1994,46
144,A Concise history of sport in Canada,['Don Morrow'],en,History,0,NOT_MATURE,Oxford University Press- USA,1989-10-01,393
145,Biography and Genealogy Master Index 2003,['Kathy Nemeh'],en,Reference,0,NOT_MATURE,Gale / Cengage Learning,02-Mar,932
146,Biography and Genealogy Master Index,na,en,Biography,0,NOT_MATURE,na,1998,0
147,Sams Teach Yourself Perl in 21 Days,['Laura Lemay'- 'Rafe Colburn'- 'Richard Colburn'],en,Computers,3.5,NOT_MATURE,Sams Publishing,2002,676
148,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,Juvenile Fiction,4,NOT_MATURE,Yearling,2008-12-24,320
149,Casenote Legal Briefs for Taxation- Keyed to Freeland- Lathrope- and Stephens,['Casenote Legal Briefs'],en,Law,0,NOT_MATURE,Wolters Kluwer Law & Business,2013-11-15,156
150,The Mystery of Sex,['Elizabeth Keyes'],en,Love,0,NOT_MATURE,Gentle Living Publications,1975,115
151,Delirium,['Nancy L. Cohen'],en,Political Science,0,NOT_MATURE,Catapult,2012-09-01,415
152,American Movie Critics,['Phillip Lopate'],en,Performing Arts,5,NOT_MATURE,na,2006,720
153,The International Encyclopedia of Sexuality: Spain to the United States,['Robert T. Francoeur'],en,Psychology,0,MATURE,Burns & Oates,1997,1737
154,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,Literary Criticism,0,NOT_MATURE,Houghton Mifflin Harcourt,2001-03-07,66
155,The American Bar- the Canadian Bar- the International Bar,na,en,Lawyers,0,NOT_MATURE,na,1988,0
156,Family Law- Keyed to Ellman- Kurtz- & Barlett,['Casenotes'],en,Law,0,NOT_MATURE,Aspen Publishers Online,2005-04-29,128
157,Casenote Legal Briefs for Property Keyed to Dukeminier- Krier- Alexander- Schill- Strahilevitz,['Casenote Legal Briefs'],en,Law,0,NOT_MATURE,Wolters Kluwer Law & Business,2017-09-15,138
158,Family Law- Keyed to Krause- Elrod- Garrison & Oldham,['Casenotes'],en,Law,0,NOT_MATURE,Aspen Publishers Online,2004-11-11,208
159,Family Law- Keyed to Weisberg and Appleton's,['Casenotes'- 'Casenote Legal Briefs'],en,Law,0,NOT_MATURE,Aspen Publishers Online,2010-03-03,204
160,Brain Mystery Light and Dark,['Charles Don Keyes'],en,Philosophy,0,NOT_MATURE,Routledge,2006-06-07,184
161,The Tryals and Condemnation of Robert Charnock- Edward King- and Thomas Keyes- for the Horrid and Execrable Conspiracy to Assassinate His Sacred Majesty K. William- in Order to a French Invasion of this Kingdom,['Robert Charnock'],en,Lancashire Plot- 1689-1694,0,NOT_MATURE,na,1696,76
162,Adult Development and Aging,['John C. Cavanaugh'- 'Fredda Blanchard-Fields'],en,Psychology,0,NOT_MATURE,Cengage Learning,2010-01-01,625
163,Saved by Cake,['Marian Keyes'],en,Cooking,4.5,NOT_MATURE,Penguin,2013-04-02,240
164,Science and the Riddle of Consciousness,['Jeffrey Foss'],en,Computers,0,NOT_MATURE,Springer Science & Business Media,2000-08-31,225
165,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,Juvenile Fiction,4,NOT_MATURE,Yearling,2009-01-16,304
166,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,Juvenile Fiction,3.5,NOT_MATURE,Yearling,2008-12-24,320
167,Environmental Law- Keyed to Plater- Abrams- Goldfarb- Graham- Heinzerling & Wirth,['Casenotes'],en,Law,0,NOT_MATURE,Aspen Publishers Online,2004,115
168,Beyond Identity,['Dick Keyes'],en,na,0,NOT_MATURE,Destinee S.A.,2012-06-01,214
169,Sammy Keyes and the Skeleton Man,na,en,Juvenile Fiction,3.5,NOT_MATURE,Knopf Books for Young Readers,2003-09-09,176
170,Bel Marin Keys Development- Unit 5- 404 Permit,na,en,na,0,NOT_MATURE,na,1982,0
171,Handbook of Midlife Development,['Margie E. Lachman'],en,Psychology,0,NOT_MATURE,John Wiley & Sons,2002-03-14,672
172,Textbook of Operative Dentistry,['Nisha Garg'- 'Amit Garg'],en,Medical,0,NOT_MATURE,Boydell & Brewer Ltd,10-Aug,520
173,Legacy Discovered,['Kerry Reis'],en,Fiction,0,NOT_MATURE,Author House,13-Sep,188
174,Parasitic Orobanchaceae,['Daniel M. Joel'- 'Jonathan Gressel'- 'Lytton J. Musselman'],en,Science,0,NOT_MATURE,Springer Science & Business Media,2013-07-01,513
175,Strategies and Saints,['Langley Carleton Keyes'],en,Social Science,0,NOT_MATURE,The Urban Insitute,1992-01-01,243
176,The Economist Development Report,na,en,International economic relations,0,NOT_MATURE,na,1986,0
177,The Handbook of Life-Span Development- Volume 1,['Richard M. Lerner'- 'Willis F. Overton'],en,Psychology,0,NOT_MATURE,John Wiley & Sons,2010-12-14,1040
178,Journal of the Iowa Archeological Society,['Iowa Archeological Society'],en,Indians of North America,0,NOT_MATURE,na,2000,0
179,Localizing development,['Henry D. Delcore'],en,na,0,NOT_MATURE,na,2000,354
183,Get Rommel,['Michael Asher'],en,History,3.5,NOT_MATURE,Hachette UK,2011-12-01,320
184,Omega,na,en,Bereavement,0,NOT_MATURE,na,2002,0
185,Mastering Arabic 1,['Jane Wightwick'- 'Mahmoud Gaafar'],en,Foreign Language Study,3,NOT_MATURE,Macmillan International Higher Education,2007-10-19,384
186,Arabic Musical Scales,['Cameron Powers'],en,Music,0,NOT_MATURE,cameron powers,2005,56
189,Geoffrey Keyes,['Elizabeth Keyes'],en,History,0,NOT_MATURE,na,1956,278
200,Advances in Electronics and Electron Physics,na,en,Computers,0,NOT_MATURE,Academic Press,1988-04-15,368
201,Advances in Chemical Physics,['Ilya Prigogine'- 'Stuart A. Rice'],en,Science,0,NOT_MATURE,John Wiley & Sons,2009-09-08,586
202,Advances in Imaging and Electron Physics,['Peter W. Hawkes'],en,Technology & Engineering,0,NOT_MATURE,Elsevier,2011-07-29,352
203,The physics of VLSI systems,['Robert W. Keyes'],en,Computers,0,NOT_MATURE,Addison Wesley Publishing Company,1987,243
204,American Men of Science,na,en,Scientists,0,NOT_MATURE,na,1960,0
205,Directory of Physics & Astronomy Staff Members,na,en,Physics,0,NOT_MATURE,na,1977,0
206,American men & women of science,['Jaques Cattell Press'- 'R.R. Bowker Company'],en,Biography & Autobiography,0,NOT_MATURE,na,1977-01-01,1100
207,The Complete Guide to Blender Graphics,['John M. Blain'],en,Computers,0,NOT_MATURE,CRC Press,2019-04-15,522
208,The world of learning- 2001,['51st Ed'],en,Education,0,NOT_MATURE,Routledge,2000-11-22,2192
209,The Europa world of learning,['Driss Fatih'],en,Education,0,NOT_MATURE,na,2005,2708
210,A Survey of American Chemistry,['National Research Council (U.S.). Division of Chemistry and Chemical Technology'],en,Chemistry,0,NOT_MATURE,National Academies,1932,0
211,Annual Report for Fiscal Year ...,['National Science Foundation (U.S.)'],en,Research,0,NOT_MATURE,na,1962,0
212,Biographical Memoirs,['National Academy of Sciences'- 'Office of the Home Secretary'],en,Biography & Autobiography,0,NOT_MATURE,National Academies Press,1998-07-01,388
213,Commencement,['University of California- Berkeley'],en,na,0,NOT_MATURE,na,1960,0
214,Organic Chemistry- Volume One,['Frank C. Whitmore'],en,Science,0,NOT_MATURE,Courier Corporation,2012-11-13,608
215,American Men of Science,na,en,Canada,0,NOT_MATURE,na,1944,0
216,Timetable,na,en,na,0,NOT_MATURE,na,1937,0
217,The Journal of Engineering Education,na,en,Engineering,0,NOT_MATURE,na,1946,0
218,Imperfect Chemistry,['Mary Frame'],en,Fiction,4.5,NOT_MATURE,Mary Frame,2014-04-23,198
219,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,Juvenile Fiction,4,NOT_MATURE,Yearling,2008-12-24,320
220,Commencement[programme],['University of California- Berkeley'],en,Dissertations- Academic,0,NOT_MATURE,na,1956,0
221,Register - University of California,na,en,na,0,NOT_MATURE,na,1957,0
222,Commencement,['University of California- Berkeley'],en,na,0,NOT_MATURE,na,1960,0
223,Grants and Awards for the Fiscal Year Ended ...,['National Science Foundation (U.S.)'],en,Federal aid to research,0,NOT_MATURE,na,1983-01-01,0
224,Academic Press Dictionary of Science and Technology,['Christopher G. Morris'- 'Academic Press'],en,Computers,0,NOT_MATURE,Gulf Professional Publishing,1992,2432
225,The Quality Management Sourcebook,['Christine Avery'- 'Diane Zabel'],en,Business & Economics,0,NOT_MATURE,Routledge,2002-09-11,336
226,Software Engineering Handbook,['Jessica Keyes'],en,Computers,4.5,NOT_MATURE,CRC Press,2002-12-23,896
227,Mechanical Engineering,na,en,Mechanical engineering,0,NOT_MATURE,na,1981,0
228,A Survey of American Chemistry,['National Research Council (U.S.). Division of Chemistry and Chemical Technology'],en,Chemistry,0,NOT_MATURE,National Academies,1933,0
229,Wastes Engineering,na,en,Public health,0,NOT_MATURE,na,1962,0
230,Directory,['University of Texas at Austin. Graduate School of Library Science'],en,na,0,NOT_MATURE,na,1972,0
231,Transescence,na,en,Junior high schools,0,NOT_MATURE,na,1993,0
232,American Doctoral Dissertations,na,en,Dissertation abstracts,0,NOT_MATURE,na,1985,0
233,The National Faculty Directory,na,en,College teachers,0,NOT_MATURE,na,2003,0
234,Who's who in Science and Engineering,na,en,Engineers,0,NOT_MATURE,na,2008,0
235,Who's Who Among Human Services Professionals- 1992-1993,['Howard Friedman'],en,na,0,NOT_MATURE,National Reference Inst Publications,1992,0
236,Who's who in the West,na,en,United States,0,NOT_MATURE,na,1992,0
237,Who's who in America,na,en,United States,0,NOT_MATURE,na,1900,0
238,نحن كلنا متشابهون، نحن كلنا مختلفون,na,en,Children's art,0,NOT_MATURE,na,2006,0
239,Handbook of Social Indicators and Quality of Life Research,['Kenneth C. Land'- 'Alex C. Michalos'- 'M. Joseph Sirgy'],en,Social Science,0,NOT_MATURE,Springer Science & Business Media,2011-11-25,593
240,The Woman Who Stole My Life,['Marian Keyes'],en,Fiction,3.5,NOT_MATURE,Penguin UK,2014-11-06,560
